#GeneName      	AdrenalGland	BoneMarrow	Breast	Bronchus	Cerebellum	CerebralCortex	CervixUterine	Colon	Duodenum	Endometrium	Epididymis	Esophagus	FallopianTube	GallBladder	HeartMuscle	HippocampalFormation	Kidney	Liver	Lung	LymphNode	Nasopharynx	OralMucosa	Ovary	Pancreas	ParathyroidGland	Placenta	ProstateGland	Rectum	SalivaSecretingGland	SeminalVesicle	SkeletalMuscleTissue	SmallIntestine	SmoothMuscleTissue	SoftTissue	Spleen	Stomach	TelencephalicVentricle	Testis	ThyroidGland	Tonsil	UrinaryBladder	Vagina	VermiformAppendix
A1BG           	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          1	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
A1CF           	           2	         0	     2	       1	         1	             0	            0	    2	       2	          0	         0	        0	            0	          2	          2	                   0	     2	    2	   0	        0	          1	         0	    0	       2	               0	       0	            0	     2	                   0	             0	                   0	             2	                 1	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                2
A2M            	           0	         0	     0	       0	         0	             1	            0	    1	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    2	   0	        0	          0	         0	    0	       0	               0	       1	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
A2ML1          	           0	         0	     0	       0	         0	             0	            3	    0	       0	          0	         0	        3	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         3	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     2	             1	     3	                0
A4GNT          	           0	         0	     0	       0	         2	             2	            0	    0	       0	          0	         0	        0	            0	          0	          1	                   0	     0	    2	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
AACS           	           3	         0	     3	       3	         2	             2	            3	    3	       3	          0	         3	        3	            2	          3	          2	                   1	     3	    1	   2	        2	          3	         3	    1	       3	               2	       2	            2	     3	                   3	             3	                   2	             3	                 0	         0	     1	      0	                     2	     3	           2	     3	             3	     3	                2
AADAT          	           3	         2	     2	       0	         2	             2	            1	    3	       3	          0	         2	        1	            1	          2	          2	                   1	     3	    3	   2	        2	          2	         1	    1	       2	               2	       2	            2	     3	                   2	             2	                   1	             3	                 1	         0	     1	      0	                     1	     3	           2	     2	             2	     1	                3
AAGAB          	           3	         2	     3	       3	         2	             2	            3	    3	       3	          0	         2	        3	            3	          3	          2	                   2	     3	    3	   2	        3	          2	         2	    1	       3	               3	       3	            3	     3	                   2	             3	                   1	             3	                 2	         0	     3	      0	                     2	     3	           3	     3	             3	     2	                3
AAMDC          	           3	         0	     1	       1	         2	             0	            0	    1	       1	          0	         1	        0	            2	          0	          2	                   0	     1	    0	   0	        0	          1	         0	    1	       1	               0	       0	            1	     1	                   0	             1	                   1	             0	                 1	         0	     0	      0	                     0	     3	           1	     0	             1	     0	                1
AAMP           	           2	         1	     3	       3	         2	             3	            2	    3	       2	          0	         2	        1	            2	          2	          1	                   2	     2	    2	   3	        2	          3	         2	    3	       2	               2	       2	            1	     2	                   2	             2	                   0	             2	                 3	         0	     1	      0	                     2	     2	           2	     2	             1	     1	                2
