#Proteins	 Control	     10h	     14h	     18h
P78363    	    4.76	   -1.42	    1.59	   -0.34
O60218    	   -2.38	   -1.32	    0.88	   -4.01
Q04828    	    1.70	    3.47	   -2.48	    0.91
P50579    	   -1.56	   -1.61	   -3.37	   -3.80
P02647    	    3.02	    1.99	    4.03	   -2.33
P02652    	    4.17	   -2.69	   -2.07	    4.10
P06727    	    4.07	    2.68	    4.92	   -1.21
P04114    	    0.39	    2.61	   -3.19	    4.34
P02655    	   -1.79	    4.73	   -2.72	   -2.81
P02656    	   -0.50	   -3.22	   -2.05	    1.73
P02649    	    2.83	    4.24	   -4.32	    0.45
O95445    	    3.83	    1.67	    4.62	    4.04
P10523    	    3.09	    4.43	    2.80	   -1.19
P62158    	    2.37	   -1.26	    1.08	   -3.28
P29973    	    4.98	   -3.46	    2.93	    0.44
Q14028    	   -0.93	    4.20	   -0.29	   -1.79
P16499    	   -1.08	   -0.94	    3.63	   -4.03
P35913    	    1.17	    1.97	   -3.47	    4.68
P51841    	   -2.80	    1.55	   -2.86	    1.90
P14061    	   -1.51	   -0.04	   -4.65	   -0.31
P62873    	    2.45	   -4.06	   -0.15	    0.37
O14775    	    1.14	   -3.32	    2.23	    0.21
P63211    	    2.13	    4.65	    2.77	    1.79
P11488    	   -0.97	   -0.25	    1.86	   -2.95
P43080    	   -2.96	   -2.44	    4.51	    2.43
Q9UMX6    	   -1.40	    1.27	   -0.57	    2.07
O95843    	    2.69	   -0.69	    3.34	   -2.80
P35052    	   -0.07	   -1.10	   -3.09	   -2.95
P51654    	   -0.76	   -4.44	    3.24	   -4.05
O75487    	    3.20	    3.74	    0.29	    0.44
P78333    	    4.65	    4.77	    0.06	   -0.67
Q9Y625    	    3.94	    3.46	   -0.28	    0.28
Q8WTQ7    	   -2.48	   -3.71	    2.72	   -3.93
P10745    	   -2.82	    4.71	    4.02	    2.92
P17252    	    2.82	   -3.14	   -4.48	    4.24
Q04759    	   -0.26	   -2.82	    2.45	   -2.69
P01130    	    0.44	    3.76	    1.97	   -3.41
P06858    	    3.35	    3.01	   -3.59	    4.96
Q13402    	   -3.04	   -2.20	   -3.47	   -2.22
O60721    	    3.44	    2.05	   -2.24	   -2.95
P30419    	    2.62	    1.07	   -2.26	    2.67
O60551    	   -2.85	    3.91	    3.92	    1.65
P03999    	   -2.32	   -2.81	    3.12	    3.54
P08100    	    2.95	   -0.40	    0.15	   -1.94
P04001    	   -0.24	   -2.20	   -3.61	   -2.61
P04000    	   -1.44	   -2.13	    3.99	    2.51
P49354    	    2.42	    1.78	   -1.12	    0.36
P49356    	    4.96	   -4.64	   -0.99	    4.71
P98160    	   -2.02	   -1.30	   -2.74	   -1.70
O14829    	   -1.40	   -0.86	   -3.10	    4.20
Q92781    	   -0.58	   -1.07	   -0.61	    1.22
P02753    	    0.05	   -1.16	   -3.15	   -0.03
Q15835    	    3.60	    4.00	   -0.74	    0.25
P18827    	    1.18	   -0.36	    2.89	    4.74
P34741    	   -2.83	    1.32	    2.83	    3.60
O75056    	    2.17	   -3.94	    3.97	    4.26
P31431    	    2.79	   -0.09	    0.63	    4.66
Q9Y561    	   -0.51	   -4.74	    3.72	    4.47
P02766    	    4.15	   -3.30	    3.10	    1.90
O95237    	   -4.89	   -3.86	   -2.60	   -2.63
Q9NYR8    	   -1.86	   -3.20	    4.28	   -1.64
Q16518    	    3.52	    3.26	   -4.01	    3.41
Q9HAY6    	    0.11	   -2.40	    4.73	   -4.90
Q9BYV7    	   -0.87	    1.51	    0.98	   -2.84
Q8TC12    	   -4.56	    3.12	   -3.84	    4.66
Q96NR8    	   -0.74	    3.51	   -4.26	    4.30
O00468    	   -3.22	   -0.52	    3.80	    3.91
O75911    	    2.70	    4.10	   -2.42	   -2.90
Q7Z4F1    	   -3.32	    4.13	    0.69	   -1.62
Q14114    	    3.02	    4.37	    3.71	   -3.54
O75916    	   -0.91	   -2.97	   -2.20	    0.63
Q9BPW9    	    2.45	   -2.02	   -3.64	    1.30
Q8N158    	   -1.26	   -4.74	   -4.71	    2.76
O14756    	   -1.18	    3.70	    1.00	    0.04
Q6IQ20    	    0.76	    4.20	    2.15	    3.71
Q6P1J6    	    2.21	    1.07	   -3.16	   -1.60
P32298    	   -0.40	   -2.01	   -0.85	     3.3
